Nombre;Últ.;% Dif.;Máx.;Mín.;Volumen;Efectivo (miles €);Fecha;Hora;Capitalización;
ACCIONA;140,8000;0,07;141,4000;138,7000;154.630;21.751,53;29/03/2021;Cierre;7.718.331;
ACERINOX;10,7700;-0,28;10,8450;10,6650;494.204;5.315,45;29/03/2021;Cierre;2.921.899;
ACS;26,9600;1,09;27,1700;26,6300;462.531;12.467,53;29/03/2021;Cierre;8.285.425;
AENA;133,5000;-0,96;134,4000;132,7000;177.162;23.653,63;29/03/2021;Cierre;20.220.000;
ALMIRALL;13,3900;12,71;13,4000;12,0400;1.265.794;16.441,56;29/03/2021;Cierre;2.116.014;
AMADEUS;58,9400;-0,84;60,1400;58,5600;738.048;43.613,82;29/03/2021;Cierre;26.777.673;
ARCELORMIT.;23,8150;-0,15;24,3150;23,6000;649.650;15.544,19;29/03/2021;Cierre;26.302.013;
B.SANTANDER;2,8640;-1,10;2,9085;2,8510;37.653.210;108.023,12;29/03/2021;Cierre;50.218.497;
BA.SABADELL;0,4499;0,42;0,4580;0,4420;24.476.793;10.996,51;29/03/2021;Cierre;2.520.880;
BANKINTER;5,8940;0,37;5,9920;5,8220;2.121.580;12.537,97;29/03/2021;Cierre;5.278.142;
BBVA;4,3670;-1,49;4,4620;4,3650;16.581.640;72.756,76;29/03/2021;Cierre;29.558.741;
CAIXABANK;2,5900;-0,80;2,6560;2,5630;23.692.618;61.606,70;29/03/2021;Cierre;15.617.535;
CELLNEX;46,6800;4,69;46,9700;45,4700;1.615.103;75.277,09;29/03/2021;Cierre;21.702.340;
CIE AUTOMOT.;22,1800;1,00;22,3200;21,8600;136.228;3.019,20;29/03/2021;Cierre;2.691.198;
ENAGAS;18,6200;1,25;18,6600;18,3800;1.024.896;19.040,86;29/03/2021;Cierre;4.817.997;
ENDESA;22,8400;0,44;22,9300;22,7200;1.152.456;26.311,34;29/03/2021;Cierre;24.076.023;
FERROVIAL;22,1300;1,89;22,1300;21,6400;929.293;20.494,46;29/03/2021;Cierre;15.918.640;
FLUIDRA;23,6000;0,43;23,9000;22,8500;356.265;8.369,79;29/03/2021;Cierre;4.597.283;
GRIFOLS CL.A;22,8700;0,09;23,1400;22,6700;973.726;22.289,09;29/03/2021;Cierre;9.737.066;
IAG;2,2540;-1,79;2,2970;2,2520;8.901.218;20.170,17;29/03/2021;Cierre;11.409.537;
IBERDROLA;11,0350;0,55;11,0550;10,9250;10.025.383;110.421,87;29/03/2021;Cierre;70.439.262;
