Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,8000","1,88","140,8000","137,9000",93.028,"13.028,12",08/04/2021,Cierre,7.581.189
ACERINOX,"11,2900","0,49","11,3200","11,1750",487.343,"5.492,95",08/04/2021,Cierre,3.039.586
ACS,"27,8300","-0,68","28,2500","27,4600",745.032,"20.668,35",08/04/2021,Cierre,8.704.822
AENA,"139,9000","1,23","140,4500","138,1000",186.535,"26.036,56",08/04/2021,Cierre,20.730.000
ALMIRALL,"12,6100","0,32","12,7200","12,5000",319.802,"4.035,61",08/04/2021,Cierre,2.238.913
AMADEUS,"60,4800","0,90","60,4800","59,8800",725.541,"43.790,27",08/04/2021,Cierre,27.002.922
ARCELORMIT.,"24,3750","-0,25","24,9600","24,1200",356.221,"8.710,30",08/04/2021,Cierre,26.947.157
B.SANTANDER,"2,9220","-0,95","2,9710","2,8790",33.375.468,"97.324,73",08/04/2021,Cierre,51.154.892
BA.SABADELL,"0,4607","-1,41","0,4695","0,4536",30.800.345,"14.128,79",08/04/2021,Cierre,2.629.481
BANKINTER,"5,8760","0,48","5,8960","5,7600",2.209.946,"12.914,12",08/04/2021,Cierre,5.256.569
BBVA,"4,5385","0,45","4,5645","4,4435",15.852.148,"71.687,25",08/04/2021,Cierre,30.125.512
CAIXABANK,"2,5790","-1,45","2,6360","2,5450",11.855.845,"30.565,41",08/04/2021,Cierre,21.094.713
CELLNEX,"42,0000","-0,80","43,2400","40,8300",3.019.825,"126.828,17",08/04/2021,Cierre,20.607.245
CIE AUTOMOT.,"22,3800","0,54","22,5200","22,1800",118.457,"2.650,85",08/04/2021,Cierre,2.727.963
ENAGAS,"18,6550","-0,67","18,9450","18,5650",885.717,"16.560,28",08/04/2021,Cierre,4.920.174
ENDESA,"22,9600","1,06","23,0400","22,7200",1.291.478,"29.627,05",08/04/2021,Cierre,24.054.848
FERROVIAL,"22,4000","1,45","22,4600","21,9200",1.022.714,"22.838,93",08/04/2021,Cierre,16.182.484
FLUIDRA,"25,1000","-0,79","25,7500","25,0000",222.559,"5.627,84",08/04/2021,Cierre,4.949.415
GRIFOLS CL.A,"23,3900","4,51","23,7000","22,5400",1.832.073,"42.723,24",08/04/2021,Cierre,9.536.785
IAG,"2,4830","-1,47","2,5370","2,4400",16.266.651,"40.226,84",08/04/2021,Cierre,12.528.120
IBERDROLA,"11,5350","2,58","11,5350","11,2350",13.365.302,"153.185,24",08/04/2021,Cierre,72.172.164
INDITEX,"27,9100","-0,14","28,2300","27,7100",2.574.706,"71.825,14",08/04/2021,Cierre,87.110.423
INDRA A,"7,4500","-1,84","7,5950","7,4100",803.839,"6.008,93",08/04/2021,Cierre,1.340.807
INM.COLONIAL,"8,2550","-0,54","8,3000","8,1600",529.948,"4.370,36",08/04/2021,Cierre,4.217.353
MAPFRE,"1,7945","-1,54","1,8350","1,7915",3.318.126,"5.971,48",08/04/2021,Cierre,5.612.486
MELIA HOTELS,"6,5500","-1,98","6,7240","6,4640",793.547,"5.199,33",08/04/2021,Cierre,1.472.713
MERLIN,"9,0780","0,67","9,1320","8,9440",739.093,"6.702,81",08/04/2021,Cierre,4.236.393
NATURGY,"21,0200","1,35","21,0200","20,7600",786.457,"16.498,10",08/04/2021,Cierre,20.109.790
PHARMA MAR,"97,2000","0,52","97,8000","94,1000",158.198,"15.157,79",08/04/2021,Cierre,1.774.920
R.E.C.,"15,2500","1,73","15,2500","14,9650",1.736.241,"26.396,04",08/04/2021,Cierre,8.110.789
REPSOL,"10,2060","-2,58","10,5280","10,1060",8.001.613,"81.761,64",08/04/2021,Cierre,16.425.222
SIEMENS GAME,"31,3900","2,62","31,4300","30,4400",978.254,"30.471,75",08/04/2021,Cierre,20.836.176
SOLARIA,"18,6200","3,27","18,6700","17,8000",1.037.084,"19.080,17",08/04/2021,Cierre,2.252.864
TELEFONICA,"3,8180","0,32","3,8410","3,7725",12.960.041,"49.300,73",08/04/2021,Cierre,21.033.597
VISCOFAN,"60,1500","1,43","60,4500","59,4000",110.810,"6.653,57",08/04/2021,Cierre,2.757.450
