Nombre;Últ.;% Dif.;Máx.;Mín.;Volumen;Efectivo (miles €);Fecha;Hora;Capitalización;
ACCIONA;137,3000;-4,72;139,4000;133,9000;150.543;20.702,94;06/04/2021;17:18:18;7.904.844;
ACERINOX;11,1550;1,09;11,2950;11,1400;481.892;5.410,41;06/04/2021;17:17:29;2.985.477;
ACS;27,9900;-0,82;28,5900;27,8900;283.054;7.999,46;06/04/2021;17:18:24;8.766.955;
AENA;139,3500;0,98;140,8500;137,9000;80.250;11.152,20;06/04/2021;17:18:24;20.700.000;
ALMIRALL;12,6300;-0,32;12,8500;12,5600;230.506;2.922,46;06/04/2021;17:16:46;2.256.725;
AMADEUS;60,7600;0,43;61,7400;60,0400;526.498;31.926,05;06/04/2021;17:18:18;27.255.202;
ARCELORMIT.;24,7400;1,48;25,3000;24,7000;509.072;12.705,78;06/04/2021;17:17:40;26.886.502;
B.SANTANDER;2,9210;1,32;2,9670;2,9130;28.533.112;83.961,89;06/04/2021;17:18:39;49.993.069;
BA.SABADELL;0,4649;2,11;0,4778;0,4581;37.895.873;17.847,73;06/04/2021;17:18:39;2.561.957;
BANKINTER;5,8100;-0,72;5,9320;5,8060;1.334.835;7.834,41;06/04/2021;17:18:17;5.260.165;
BBVA;4,5220;1,72;4,5930;4,5000;8.970.466;40.865,75;06/04/2021;17:18:39;29.642.090;
CAIXABANK;2,5910;-0,35;2,6390;2,5810;9.482.788;24.725,71;06/04/2021;17:18:39;20.957.682;
CELLNEX;44,3600;0,38;44,7400;43,9300;1.003.030;44.543,66;06/04/2021;17:18:18;21.507.656;
CIE AUTOMOT.;22,5800;-0,27;22,9800;22,4800;71.873;1.628,74;06/04/2021;17:16:10;2.774.532;
ENAGAS;18,4850;0,33;18,6450;18,2900;546.223;10.068,84;06/04/2021;17:18:22;4.827.167;
ENDESA;22,6000;1,25;22,6000;22,3200;535.847;12.023,03;06/04/2021;17:16:54;23.631.347;
FERROVIAL;22,1000;-1,91;22,7000;21,9600;462.037;10.257,16;06/04/2021;17:18:30;16.512.291;
FLUIDRA;24,9500;0,60;25,1000;24,6500;186.095;4.640,07;06/04/2021;17:16:41;4.851.601;
GRIFOLS CL.A;22,2900;-1,37;22,5400;21,5000;730.655;16.239,11;06/04/2021;17:18:36;9.630.533;
IAG;2,5110;2,16;2,5430;2,4760;18.736.841;47.056,95;06/04/2021;17:18:27;12.219.888;
IBERDROLA;11,3100;2,49;11,3300;11,1650;13.086.826;147.302,42;06/04/2021;17:18:37;70.824.351;
INDITEX;28,5000;0,71;28,6700;28,2000;850.417;24.195,34;06/04/2021;17:18:33;88.201.252;
INDRA A;7,7050;2,73;7,7800;7,5750;527.964;4.064,44;06/04/2021;17:18:01;1.324.908;
INM.COLONIAL;8,3100;0,42;8,3750;8,1950;140.888;1.168,51;06/04/2021;17:17:36;4.204.650;
MAPFRE;1,8065;2,24;1,8380;1,8035;4.507.574;8.205,06;06/04/2021;17:18:22;5.441.571;
MELIA HOTELS;6,7000;4,07;6,7220;6,5360;786.000;5.220,99;06/04/2021;17:18:10;1.418.935;
MERLIN;8,9820;0,92;9,1460;8,9160;607.286;5.454,09;06/04/2021;17:17:48;4.180.960;
NATURGY;20,8200;0,14;21,0500;20,6300;278.163;5.776,74;06/04/2021;17:15:02;20.158.271;
PHARMA MAR;99,0600;1,50;99,8800;96,3000;95.686;9.415,98;06/04/2021;17:18:03;1.791.439;
R.E.C.;14,8050;-1,27;15,0300;14,3200;1.544.603;22.587,99;06/04/2021;17:18:08;8.113.495;
REPSOL;10,4540;0,15;10,6400;10,4400;3.429.385;36.178,37;06/04/2021;17:18:26;16.365.642;
SIEMENS GAME;31,5600;-2,74;33,0000;31,4500;993.320;31.834,51;06/04/2021;17:18:28;22.103.103;
SOLARIA;18,0400;-3,01;18,8250;17,3100;1.709.059;30.387,63;06/04/2021;17:17:07;2.324.086;
TELEFONICA;3,7990;0,45;3,8430;3,7755;24.925.776;95.126,85;06/04/2021;17:18:39;20.900.962;
VISCOFAN;59,4500;0,76;59,6000;58,7500;71.615;4.230,09;06/04/2021;17:16:48;2.743.500;
