Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,0000","-0,57","141,2000","139,4000",12.649,"1.771,38",09/04/2021,11:40:55,7.723.817
ACERINOX,"11,4100","1,06","11,4150","11,2350",242.805,"2.752,90",09/04/2021,11:40:01,3.054.467
ACS,"27,6300","-0,72","27,9800","27,5700",70.160,"1.946,17",09/04/2021,11:40:51,8.645.796
AENA,"140,0000","0,07","140,4000","139,3000",48.138,"6.730,01",09/04/2021,11:41:09,20.985.000
ALMIRALL,"12,5200","-0,71","12,6400","12,4800",81.675,"1.024,83",09/04/2021,11:33:03,2.246.038
AMADEUS,"59,7400","-1,22","60,4200","59,6200",75.742,"4.539,51",09/04/2021,11:41:18,27.246.192
ARCELORMIT.,"24,4200","0,18","24,4550","24,1400",81.378,"1.975,42",09/04/2021,11:41:06,26.880.988
B.SANTANDER,"2,8930","-0,99","2,9410","2,8860",5.752.703,"16.760,05",09/04/2021,11:41:51,50.669.354
BA.SABADELL,"0,4534","-1,58","0,4644","0,4512",10.687.466,"4.878,67",09/04/2021,11:41:46,2.592.343
BANKINTER,"5,8320","-0,75","5,8960","5,8320",279.468,"1.637,61",09/04/2021,11:41:55,5.281.738
BBVA,"4,4440","-2,08","4,5620","4,4425",6.376.609,"28.621,35",09/04/2021,11:41:55,30.262.203
CAIXABANK,"2,5640","-0,58","2,5930","2,5560",1.512.939,"3.887,56",09/04/2021,11:41:36,20.788.409
CELLNEX,"42,0400","0,10","42,3200","41,7200",705.704,"29.647,34",09/04/2021,11:41:49,20.441.764
CIE AUTOMOT.,"21,8200","-2,50","22,3800","21,8200",67.488,"1.483,92",09/04/2021,11:40:53,2.742.669
ENAGAS,"18,5650","-0,48","18,6950","18,4900",166.097,"3.085,35",09/04/2021,11:40:33,4.887.425
ENDESA,"22,8100","-0,65","23,0000","22,7500",94.882,"2.168,35",09/04/2021,11:39:51,24.308.949
FERROVIAL,"22,4000","0,00","22,4300","22,0700",92.057,"2.051,63",09/04/2021,11:41:39,16.417.013
FLUIDRA,"25,6500","2,19","25,8500","25,1000",163.116,"4.143,44",09/04/2021,11:35:59,4.910.290
GRIFOLS CL.A,"23,3800","-0,04","23,5100","23,1700",142.057,"3.320,16",09/04/2021,11:41:47,9.967.176
IAG,"2,4780","-0,20","2,4990","2,4560",2.657.377,"6.593,24",09/04/2021,11:40:43,12.344.175
IBERDROLA,"11,5350","0,00","11,5900","11,4650",1.408.940,"16.243,16",09/04/2021,11:40:43,74.033.429
INDITEX,"27,7400","-0,61","27,7800","27,5700",341.817,"9.455,49",09/04/2021,11:41:55,86.985.757
INDRA A,"7,4700","0,27","7,5100","7,3950",406.089,"3.026,14",09/04/2021,11:40:02,1.316.075
INM.COLONIAL,"8,1950","-0,73","8,2650","8,1650",50.648,"416,63",09/04/2021,11:38:39,4.194.488
MAPFRE,"1,7755","-1,06","1,7990","1,7750",1.394.623,"2.485,64",09/04/2021,11:38:53,5.526.258
MELIA HOTELS,"6,5060","-0,67","6,5960","6,5000",217.135,"1.419,93",09/04/2021,11:33:37,1.443.620
MERLIN,"8,9860","-1,01","9,0720","8,9320",98.085,"884,05",09/04/2021,11:41:56,4.264.579
NATURGY,"20,8500","-0,81","21,0200","20,8100",42.767,"892,97",09/04/2021,11:39:36,20.381.282
PHARMA MAR,"95,9800","-1,26","97,7200","95,7000",27.001,"2.607,93",09/04/2021,11:40:30,1.784.097
R.E.C.,"15,1100","-0,92","15,2300","15,0800",189.407,"2.866,71",09/04/2021,11:41:47,8.251.470
REPSOL,"10,1760","-0,29","10,2540","10,1400",1.040.430,"10.603,74",09/04/2021,11:41:55,16.001.891
SIEMENS GAME,"31,1600","-0,73","31,4700","30,9100",182.323,"5.680,13",09/04/2021,11:40:33,21.381.091
SOLARIA,"17,8200","-4,30","18,6350","17,7650",481.104,"8.681,88",09/04/2021,11:41:22,2.326.585
TELEFONICA,"3,7965","-0,56","3,8400","3,7825",2.431.552,"9.248,04",09/04/2021,11:42:00,21.099.914
VISCOFAN,"59,9500","-0,33","60,2000","59,7000",15.614,"936,65",09/04/2021,11:07:17,2.796.975
